Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
1990,Cameroon,Ind. roundwood,Production Quantity,3141,1000 m3,I
1991,Cameroon,Ind. roundwood,Production Quantity,3090,1000 m3,I
1992,Cameroon,Ind. roundwood,Production Quantity,2933,1000 m3,I
1993,Cameroon,Ind. roundwood,Production Quantity,2941,1000 m3,I
1994,Cameroon,Ind. roundwood,Production Quantity,3331,1000 m3,I
1995,Cameroon,Ind. roundwood,Production Quantity,3608,1000 m3,I
1996,Cameroon,Ind. roundwood,Production Quantity,3758,1000 m3,I
1997,Cameroon,Ind. roundwood,Production Quantity,3280,1000 m3,I
1998,Cameroon,Ind. roundwood,Production Quantity,3045,1000 m3,I
1999,Cameroon,Ind. roundwood,Production Quantity,2845,1000 m3,I
2000,Cameroon,Ind. roundwood,Production Quantity,2840,1000 m3,I
2001,Cameroon,Ind. roundwood,Production Quantity,2550,1000 m3,I
2002,Cameroon,Ind. roundwood,Production Quantity,2570,1000 m3,I
2003,Cameroon,Ind. roundwood,Production Quantity,2370,1000 m3,I
2004,Cameroon,Ind. roundwood,Production Quantity,2680,1000 m3,I
2005,Cameroon,Ind. roundwood,Production Quantity,2439,1000 m3,I
2006,Cameroon,Ind. roundwood,Production Quantity,2813,1000 m3,I
2007,Cameroon,Ind. roundwood,Production Quantity,2704,1000 m3,I
2008,Cameroon,Ind. roundwood,Production Quantity,2316,1000 m3,I
2009,Cameroon,Ind. roundwood,Production Quantity,2406,1000 m3,I
2010,Cameroon,Ind. roundwood,Production Quantity,2640,1000 m3,I
2011,Cameroon,Ind. roundwood,Production Quantity,2840,1000 m3,I
2012,Cameroon,Ind. roundwood,Production Quantity,3960,1000 m3,I
2013,Cameroon,Ind. roundwood,Production Quantity,4560,1000 m3,I
2014,Cameroon,Ind. roundwood,Production Quantity,5060,1000 m3,I
2015,Cameroon,Ind. roundwood,Production Quantity,5060,1000 m3,I
2016,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,I
2017,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,I
2018,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,I
2019,Cameroon,Ind. roundwood,Production Quantity,5860,1000 m3,I
2020,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,I
2021,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,X
2022,Cameroon,Ind. roundwood,Production Quantity,5460,1000 m3,X
2023,Cameroon,Ind. roundwood,Production Quantity,5470,1000 m3,I
1990,Cameroon,Ind. roundwood (C),Production Quantity,5,1000 m3,I
1991,Cameroon,Ind. roundwood (C),Production Quantity,5,1000 m3,I
1992,Cameroon,Ind. roundwood (C),Production Quantity,5,1000 m3,I
1993,Cameroon,Ind. roundwood (C),Production Quantity,5,1000 m3,I
1994,Cameroon,Ind. roundwood (C),Production Quantity,20,1000 m3,I
1995,Cameroon,Ind. roundwood (C),Production Quantity,20,1000 m3,I
1996,Cameroon,Ind. roundwood (C),Production Quantity,25,1000 m3,I
1997,Cameroon,Ind. roundwood (C),Production Quantity,25,1000 m3,I
1998,Cameroon,Ind. roundwood (C),Production Quantity,45,1000 m3,I
1999,Cameroon,Ind. roundwood (C),Production Quantity,45,1000 m3,I
2000,Cameroon,Ind. roundwood (C),Production Quantity,40,1000 m3,I
2001,Cameroon,Ind. roundwood (C),Production Quantity,50,1000 m3,I
2002,Cameroon,Ind. roundwood (C),Production Quantity,70,1000 m3,I
2003,Cameroon,Ind. roundwood (C),Production Quantity,70,1000 m3,I
2004,Cameroon,Ind. roundwood (C),Production Quantity,80,1000 m3,I
2005,Cameroon,Ind. roundwood (C),Production Quantity,70,1000 m3,I
2006,Cameroon,Ind. roundwood (C),Production Quantity,35,1000 m3,I
2007,Cameroon,Ind. roundwood (C),Production Quantity,30,1000 m3,I
2008,Cameroon,Ind. roundwood (C),Production Quantity,50,1000 m3,I
2009,Cameroon,Ind. roundwood (C),Production Quantity,40,1000 m3,I
2010,Cameroon,Ind. roundwood (C),Production Quantity,40,1000 m3,I
2011,Cameroon,Ind. roundwood (C),Production Quantity,40,1000 m3,X
2012,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,I
2013,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2014,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2015,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2016,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2017,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2018,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2019,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2020,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,I
2021,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2022,Cameroon,Ind. roundwood (C),Production Quantity,60,1000 m3,X
2023,Cameroon,Ind. roundwood (C),Production Quantity,70,1000 m3,I
1990,Cameroon,Ind. roundwood (NC),Production Quantity,3136,1000 m3,F
1991,Cameroon,Ind. roundwood (NC),Production Quantity,3085,1000 m3,F
1992,Cameroon,Ind. roundwood (NC),Production Quantity,2928,1000 m3,F
1993,Cameroon,Ind. roundwood (NC),Production Quantity,2936,1000 m3,F
1994,Cameroon,Ind. roundwood (NC),Production Quantity,3311,1000 m3,F
1995,Cameroon,Ind. roundwood (NC),Production Quantity,3588,1000 m3,F
1996,Cameroon,Ind. roundwood (NC),Production Quantity,3733,1000 m3,F
1997,Cameroon,Ind. roundwood (NC),Production Quantity,3255,1000 m3,F
1998,Cameroon,Ind. roundwood (NC),Production Quantity,3000,1000 m3,I
1999,Cameroon,Ind. roundwood (NC),Production Quantity,2800,1000 m3,I
2000,Cameroon,Ind. roundwood (NC),Production Quantity,2800,1000 m3,X
2001,Cameroon,Ind. roundwood (NC),Production Quantity,2500,1000 m3,I
2002,Cameroon,Ind. roundwood (NC),Production Quantity,2500,1000 m3,I
2003,Cameroon,Ind. roundwood (NC),Production Quantity,2300,1000 m3,I
2004,Cameroon,Ind. roundwood (NC),Production Quantity,2600,1000 m3,I
2005,Cameroon,Ind. roundwood (NC),Production Quantity,2369,1000 m3,I
2006,Cameroon,Ind. roundwood (NC),Production Quantity,2778,1000 m3,*
2007,Cameroon,Ind. roundwood (NC),Production Quantity,2674,1000 m3,I
2008,Cameroon,Ind. roundwood (NC),Production Quantity,2266,1000 m3,*
2009,Cameroon,Ind. roundwood (NC),Production Quantity,2366,1000 m3,I
2010,Cameroon,Ind. roundwood (NC),Production Quantity,2600,1000 m3,I
2011,Cameroon,Ind. roundwood (NC),Production Quantity,2800,1000 m3,I
2012,Cameroon,Ind. roundwood (NC),Production Quantity,3900,1000 m3,I
2013,Cameroon,Ind. roundwood (NC),Production Quantity,4500,1000 m3,I
2014,Cameroon,Ind. roundwood (NC),Production Quantity,5000,1000 m3,I
2015,Cameroon,Ind. roundwood (NC),Production Quantity,5000,1000 m3,I
2016,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,I
2017,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,I
2018,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,*
2019,Cameroon,Ind. roundwood (NC),Production Quantity,5800,1000 m3,I
2020,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,I
2021,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,X
2022,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,X
2023,Cameroon,Ind. roundwood (NC),Production Quantity,5400,1000 m3,X
1990,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3136,1000 m3,I
1991,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3085,1000 m3,I
1992,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2928,1000 m3,I
1993,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2936,1000 m3,I
1994,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3311,1000 m3,I
1995,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3588,1000 m3,I
1996,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3733,1000 m3,I
1997,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3255,1000 m3,I
1998,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3000,1000 m3,I
1999,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2800,1000 m3,I
2000,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2800,1000 m3,X
2001,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2500,1000 m3,I
2002,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2500,1000 m3,I
2003,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2300,1000 m3,I
2004,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2600,1000 m3,I
2005,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2369,1000 m3,I
2006,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2778,1000 m3,*
2007,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2674,1000 m3,I
2008,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2266,1000 m3,*
2009,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2366,1000 m3,I
2010,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2600,1000 m3,I
2011,Cameroon,Ind. roundwood (NC.T.),Production Quantity,2800,1000 m3,I
2012,Cameroon,Ind. roundwood (NC.T.),Production Quantity,3900,1000 m3,I
2013,Cameroon,Ind. roundwood (NC.T.),Production Quantity,4500,1000 m3,I
2014,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5000,1000 m3,I
2015,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5000,1000 m3,I
2016,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,I
2017,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,I
2018,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,I
2019,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5800,1000 m3,I
2020,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,I
2021,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,X
