Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
2022,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,X
2023,Cameroon,Ind. roundwood (NC.T.),Production Quantity,5400,1000 m3,X
1990,Cameroon,Sawnwood,Production Quantity,592,1000 m3,I
1991,Cameroon,Sawnwood,Production Quantity,564,1000 m3,I
1992,Cameroon,Sawnwood,Production Quantity,579,1000 m3,I
1993,Cameroon,Sawnwood,Production Quantity,581,1000 m3,I
1994,Cameroon,Sawnwood,Production Quantity,648,1000 m3,I
1995,Cameroon,Sawnwood,Production Quantity,677,1000 m3,I
1996,Cameroon,Sawnwood,Production Quantity,686,1000 m3,I
1997,Cameroon,Sawnwood,Production Quantity,561,1000 m3,I
1998,Cameroon,Sawnwood,Production Quantity,594,1000 m3,I
1999,Cameroon,Sawnwood,Production Quantity,605,1000 m3,I
2000,Cameroon,Sawnwood,Production Quantity,811,1000 m3,I
2001,Cameroon,Sawnwood,Production Quantity,861,1000 m3,I
2002,Cameroon,Sawnwood,Production Quantity,900,1000 m3,I
2003,Cameroon,Sawnwood,Production Quantity,883,1000 m3,I
2004,Cameroon,Sawnwood,Production Quantity,1042,1000 m3,I
2005,Cameroon,Sawnwood,Production Quantity,1010,1000 m3,I
2006,Cameroon,Sawnwood,Production Quantity,1010,1000 m3,I
2007,Cameroon,Sawnwood,Production Quantity,1005,1000 m3,I
2008,Cameroon,Sawnwood,Production Quantity,873,1000 m3,I
2009,Cameroon,Sawnwood,Production Quantity,921.46,1000 m3,I
2010,Cameroon,Sawnwood,Production Quantity,922.46,1000 m3,I
2011,Cameroon,Sawnwood,Production Quantity,1003,1000 m3,I
2012,Cameroon,Sawnwood,Production Quantity,1015,1000 m3,I
2013,Cameroon,Sawnwood,Production Quantity,1022,1000 m3,I
2014,Cameroon,Sawnwood,Production Quantity,1022,1000 m3,X
2015,Cameroon,Sawnwood,Production Quantity,1022,1000 m3,X
2016,Cameroon,Sawnwood,Production Quantity,1022,1000 m3,X
2017,Cameroon,Sawnwood,Production Quantity,1022,1000 m3,X
2018,Cameroon,Sawnwood,Production Quantity,1122,1000 m3,I
2019,Cameroon,Sawnwood,Production Quantity,1322,1000 m3,I
2020,Cameroon,Sawnwood,Production Quantity,1222,1000 m3,I
2021,Cameroon,Sawnwood,Production Quantity,1222,1000 m3,X
2022,Cameroon,Sawnwood,Production Quantity,1372,1000 m3,I
2023,Cameroon,Sawnwood,Production Quantity,1372,1000 m3,X
1990,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1991,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1992,Cameroon,Sawnwood (C),Production Quantity,2,1000 m3,I
1993,Cameroon,Sawnwood (C),Production Quantity,2,1000 m3,I
1994,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1995,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1996,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1997,Cameroon,Sawnwood (C),Production Quantity,1,1000 m3,I
1998,Cameroon,Sawnwood (C),Production Quantity,5,1000 m3,I
1999,Cameroon,Sawnwood (C),Production Quantity,5,1000 m3,I
2000,Cameroon,Sawnwood (C),Production Quantity,11,1000 m3,I
2001,Cameroon,Sawnwood (C),Production Quantity,11,1000 m3,X
2002,Cameroon,Sawnwood (C),Production Quantity,14,1000 m3,I
2003,Cameroon,Sawnwood (C),Production Quantity,14,1000 m3,I
2004,Cameroon,Sawnwood (C),Production Quantity,14,1000 m3,I
2005,Cameroon,Sawnwood (C),Production Quantity,10,1000 m3,I
2006,Cameroon,Sawnwood (C),Production Quantity,10,1000 m3,I
2007,Cameroon,Sawnwood (C),Production Quantity,5,1000 m3,I
2008,Cameroon,Sawnwood (C),Production Quantity,13,1000 m3,I
2009,Cameroon,Sawnwood (C),Production Quantity,9,1000 m3,I
2010,Cameroon,Sawnwood (C),Production Quantity,10,1000 m3,I
2011,Cameroon,Sawnwood (C),Production Quantity,10,1000 m3,X
2012,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,I
2013,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2014,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2015,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2016,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2017,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2018,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2019,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2020,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2021,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2022,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
2023,Cameroon,Sawnwood (C),Production Quantity,22,1000 m3,X
1990,Cameroon,Sawnwood (NC),Production Quantity,591,1000 m3,F
1991,Cameroon,Sawnwood (NC),Production Quantity,563,1000 m3,F
1992,Cameroon,Sawnwood (NC),Production Quantity,577,1000 m3,F
1993,Cameroon,Sawnwood (NC),Production Quantity,579,1000 m3,F
1994,Cameroon,Sawnwood (NC),Production Quantity,647,1000 m3,F
1995,Cameroon,Sawnwood (NC),Production Quantity,676,1000 m3,F
1996,Cameroon,Sawnwood (NC),Production Quantity,685,1000 m3,F
1997,Cameroon,Sawnwood (NC),Production Quantity,560,1000 m3,
1998,Cameroon,Sawnwood (NC),Production Quantity,589,1000 m3,
1999,Cameroon,Sawnwood (NC),Production Quantity,600,1000 m3,
2000,Cameroon,Sawnwood (NC),Production Quantity,800,1000 m3,I
2001,Cameroon,Sawnwood (NC),Production Quantity,850,1000 m3,I
2002,Cameroon,Sawnwood (NC),Production Quantity,886,1000 m3,I
2003,Cameroon,Sawnwood (NC),Production Quantity,869,1000 m3,I
2004,Cameroon,Sawnwood (NC),Production Quantity,1028,1000 m3,I
2005,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,I
2006,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2007,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2008,Cameroon,Sawnwood (NC),Production Quantity,860,1000 m3,*
2009,Cameroon,Sawnwood (NC),Production Quantity,912.46,1000 m3,*
2010,Cameroon,Sawnwood (NC),Production Quantity,912.46,1000 m3,X
2011,Cameroon,Sawnwood (NC),Production Quantity,993,1000 m3,*
2012,Cameroon,Sawnwood (NC),Production Quantity,993,1000 m3,X
2013,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,I
2014,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2015,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2016,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2017,Cameroon,Sawnwood (NC),Production Quantity,1000,1000 m3,X
2018,Cameroon,Sawnwood (NC),Production Quantity,1100,1000 m3,I
2019,Cameroon,Sawnwood (NC),Production Quantity,1300,1000 m3,I
2020,Cameroon,Sawnwood (NC),Production Quantity,1200,1000 m3,I
2021,Cameroon,Sawnwood (NC),Production Quantity,1200,1000 m3,X
2022,Cameroon,Sawnwood (NC),Production Quantity,1350,1000 m3,I
2023,Cameroon,Sawnwood (NC),Production Quantity,1350,1000 m3,X
1990,Cameroon,Sawnwood (NC.T.),Production Quantity,591,1000 m3,I
1991,Cameroon,Sawnwood (NC.T.),Production Quantity,563,1000 m3,I
1992,Cameroon,Sawnwood (NC.T.),Production Quantity,577,1000 m3,I
1993,Cameroon,Sawnwood (NC.T.),Production Quantity,579,1000 m3,I
1994,Cameroon,Sawnwood (NC.T.),Production Quantity,647,1000 m3,I
1995,Cameroon,Sawnwood (NC.T.),Production Quantity,676,1000 m3,I
1996,Cameroon,Sawnwood (NC.T.),Production Quantity,685,1000 m3,I
1997,Cameroon,Sawnwood (NC.T.),Production Quantity,560,1000 m3,
1998,Cameroon,Sawnwood (NC.T.),Production Quantity,589,1000 m3,
1999,Cameroon,Sawnwood (NC.T.),Production Quantity,600,1000 m3,
2000,Cameroon,Sawnwood (NC.T.),Production Quantity,800,1000 m3,I
2001,Cameroon,Sawnwood (NC.T.),Production Quantity,850,1000 m3,I
2002,Cameroon,Sawnwood (NC.T.),Production Quantity,886,1000 m3,I
2003,Cameroon,Sawnwood (NC.T.),Production Quantity,869,1000 m3,I
2004,Cameroon,Sawnwood (NC.T.),Production Quantity,1028,1000 m3,I
2005,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,I
2006,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2007,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2008,Cameroon,Sawnwood (NC.T.),Production Quantity,860,1000 m3,*
2009,Cameroon,Sawnwood (NC.T.),Production Quantity,912.46,1000 m3,*
2010,Cameroon,Sawnwood (NC.T.),Production Quantity,912.46,1000 m3,X
2011,Cameroon,Sawnwood (NC.T.),Production Quantity,993,1000 m3,*
2012,Cameroon,Sawnwood (NC.T.),Production Quantity,993,1000 m3,X
2013,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,I
2014,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2015,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2016,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2017,Cameroon,Sawnwood (NC.T.),Production Quantity,1000,1000 m3,X
2018,Cameroon,Sawnwood (NC.T.),Production Quantity,1100,1000 m3,I
2019,Cameroon,Sawnwood (NC.T.),Production Quantity,1300,1000 m3,I
2020,Cameroon,Sawnwood (NC.T.),Production Quantity,1200,1000 m3,I
2021,Cameroon,Sawnwood (NC.T.),Production Quantity,1200,1000 m3,X
2022,Cameroon,Sawnwood (NC.T.),Production Quantity,1350,1000 m3,I
2023,Cameroon,Sawnwood (NC.T.),Production Quantity,1350,1000 m3,X
1990,Cameroon,Veneer,Production Quantity,60.3,1000 m3,I
1991,Cameroon,Veneer,Production Quantity,60.3,1000 m3,I
1992,Cameroon,Veneer,Production Quantity,60.3,1000 m3,I
1993,Cameroon,Veneer,Production Quantity,60.3,1000 m3,I
1994,Cameroon,Veneer,Production Quantity,60.3,1000 m3,I
1995,Cameroon,Veneer,Production Quantity,61.3,1000 m3,I
1996,Cameroon,Veneer,Production Quantity,63,1000 m3,I
1997,Cameroon,Veneer,Production Quantity,62,1000 m3,I
1998,Cameroon,Veneer,Production Quantity,60,1000 m3,I
1999,Cameroon,Veneer,Production Quantity,54,1000 m3,I
2000,Cameroon,Veneer,Production Quantity,73,1000 m3,I
2001,Cameroon,Veneer,Production Quantity,69,1000 m3,I
2002,Cameroon,Veneer,Production Quantity,55.18,1000 m3,I
2003,Cameroon,Veneer,Production Quantity,50.91,1000 m3,I
2004,Cameroon,Veneer,Production Quantity,65,1000 m3,I
2005,Cameroon,Veneer,Production Quantity,54,1000 m3,I
2006,Cameroon,Veneer,Production Quantity,76.4,1000 m3,I
2007,Cameroon,Veneer,Production Quantity,85.4,1000 m3,I
2008,Cameroon,Veneer,Production Quantity,79.4,1000 m3,I
2009,Cameroon,Veneer,Production Quantity,62.4,1000 m3,I
2010,Cameroon,Veneer,Production Quantity,52.94,1000 m3,I
2011,Cameroon,Veneer,Production Quantity,44.4,1000 m3,I
2012,Cameroon,Veneer,Production Quantity,37.71,1000 m3,I
2013,Cameroon,Veneer,Production Quantity,32.73,1000 m3,I
2014,Cameroon,Veneer,Production Quantity,29.14,1000 m3,I
2015,Cameroon,Veneer,Production Quantity,36,1000 m3,I
2016,Cameroon,Veneer,Production Quantity,44.97,1000 m3,I
2017,Cameroon,Veneer,Production Quantity,55.87,1000 m3,I
2018,Cameroon,Veneer,Production Quantity,76.14,1000 m3,I
2019,Cameroon,Veneer,Production Quantity,96,1000 m3,I
2020,Cameroon,Veneer,Production Quantity,71,1000 m3,I
2021,Cameroon,Veneer,Production Quantity,71,1000 m3,X
2022,Cameroon,Veneer,Production Quantity,91,1000 m3,I
2023,Cameroon,Veneer,Production Quantity,91,1000 m3,X
1990,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1991,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1992,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1993,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1994,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1995,Cameroon,Veneer (C),Production Quantity,0.3,1000 m3,RI
1996,Cameroon,Veneer (C),Production Quantity,2,1000 m3,I
1997,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
1998,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
1999,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2000,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2001,Cameroon,Veneer (C),Production Quantity,4,1000 m3,I
2002,Cameroon,Veneer (C),Production Quantity,2,1000 m3,I
2003,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2004,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2005,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2006,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2007,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2008,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2009,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2010,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2011,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2012,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2013,Cameroon,Veneer (C),Production Quantity,0.4,1000 m3,RI
2014,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2015,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2016,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2017,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2018,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2019,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2020,Cameroon,Veneer (C),Production Quantity,1,1000 m3,I
2021,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2022,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
2023,Cameroon,Veneer (C),Production Quantity,1,1000 m3,X
1990,Cameroon,Veneer (NC),Production Quantity,60,1000 m3,I
1991,Cameroon,Veneer (NC),Production Quantity,60,1000 m3,I
1992,Cameroon,Veneer (NC),Production Quantity,60,1000 m3,I
1993,Cameroon,Veneer (NC),Production Quantity,60,1000 m3,I
1994,Cameroon,Veneer (NC),Production Quantity,60,1000 m3,I
1995,Cameroon,Veneer (NC),Production Quantity,61,1000 m3,
1996,Cameroon,Veneer (NC),Production Quantity,61,1000 m3,
1997,Cameroon,Veneer (NC),Production Quantity,61,1000 m3,
1998,Cameroon,Veneer (NC),Production Quantity,59,1000 m3,
1999,Cameroon,Veneer (NC),Production Quantity,53,1000 m3,
2000,Cameroon,Veneer (NC),Production Quantity,72,1000 m3,
2001,Cameroon,Veneer (NC),Production Quantity,65,1000 m3,I
2002,Cameroon,Veneer (NC),Production Quantity,53.18,1000 m3,
2003,Cameroon,Veneer (NC),Production Quantity,49.91,1000 m3,
2004,Cameroon,Veneer (NC),Production Quantity,64,1000 m3,I
2005,Cameroon,Veneer (NC),Production Quantity,53,1000 m3,I
2006,Cameroon,Veneer (NC),Production Quantity,76,1000 m3,I
2007,Cameroon,Veneer (NC),Production Quantity,85,1000 m3,I
2008,Cameroon,Veneer (NC),Production Quantity,79,1000 m3,I
2009,Cameroon,Veneer (NC),Production Quantity,62,1000 m3,*
2010,Cameroon,Veneer (NC),Production Quantity,52.54,1000 m3,
2011,Cameroon,Veneer (NC),Production Quantity,44,1000 m3,
2012,Cameroon,Veneer (NC),Production Quantity,37.31,1000 m3,
2013,Cameroon,Veneer (NC),Production Quantity,32.33,1000 m3,
2014,Cameroon,Veneer (NC),Production Quantity,28.14,1000 m3,
2015,Cameroon,Veneer (NC),Production Quantity,35,1000 m3,I
2016,Cameroon,Veneer (NC),Production Quantity,43.97,1000 m3,
2017,Cameroon,Veneer (NC),Production Quantity,54.87,1000 m3,
2018,Cameroon,Veneer (NC),Production Quantity,75.14,1000 m3,
2019,Cameroon,Veneer (NC),Production Quantity,95,1000 m3,I
2020,Cameroon,Veneer (NC),Production Quantity,70,1000 m3,I
2021,Cameroon,Veneer (NC),Production Quantity,70,1000 m3,X
2022,Cameroon,Veneer (NC),Production Quantity,90,1000 m3,I
2023,Cameroon,Veneer (NC),Production Quantity,90,1000 m3,X
1990,Cameroon,Veneer (NC.T.),Production Quantity,60,1000 m3,I
1991,Cameroon,Veneer (NC.T.),Production Quantity,60,1000 m3,I
1992,Cameroon,Veneer (NC.T.),Production Quantity,60,1000 m3,I
1993,Cameroon,Veneer (NC.T.),Production Quantity,60,1000 m3,I
1994,Cameroon,Veneer (NC.T.),Production Quantity,60,1000 m3,I
1995,Cameroon,Veneer (NC.T.),Production Quantity,61,1000 m3,
1996,Cameroon,Veneer (NC.T.),Production Quantity,61,1000 m3,
1997,Cameroon,Veneer (NC.T.),Production Quantity,61,1000 m3,
1998,Cameroon,Veneer (NC.T.),Production Quantity,59,1000 m3,
1999,Cameroon,Veneer (NC.T.),Production Quantity,53,1000 m3,
