Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
2020,Guyana,Ind. roundwood,Production Quantity,390,1000 m3,I
2021,Guyana,Ind. roundwood,Production Quantity,340,1000 m3,I
2022,Guyana,Ind. roundwood,Production Quantity,410,1000 m3,I
2023,Guyana,Ind. roundwood,Production Quantity,410,1000 m3,X
1990,Guyana,Ind. roundwood (C),Production Quantity,3,1000 m3,F
1991,Guyana,Ind. roundwood (C),Production Quantity,3,1000 m3,F
1992,Guyana,Ind. roundwood (C),Production Quantity,3,1000 m3,F
1993,Guyana,Ind. roundwood (C),Production Quantity,3,1000 m3,F
1994,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
1995,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,I
1996,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
1997,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,I
1998,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
1999,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
2000,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
2001,Guyana,Ind. roundwood (C),Production Quantity,15,1000 m3,I
2002,Guyana,Ind. roundwood (C),Production Quantity,15,1000 m3,I
2003,Guyana,Ind. roundwood (C),Production Quantity,15,1000 m3,I
2004,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2005,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2006,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2007,Guyana,Ind. roundwood (C),Production Quantity,40,1000 m3,I
2008,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2009,Guyana,Ind. roundwood (C),Production Quantity,15,1000 m3,I
2010,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2011,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,I
2012,Guyana,Ind. roundwood (C),Production Quantity,25,1000 m3,I
2013,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
2014,Guyana,Ind. roundwood (C),Production Quantity,20,1000 m3,I
2015,Guyana,Ind. roundwood (C),Production Quantity,30,1000 m3,I
2016,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,I
2017,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,I
2018,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2019,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2020,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2021,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2022,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
2023,Guyana,Ind. roundwood (C),Production Quantity,10,1000 m3,X
1990,Guyana,Ind. roundwood (NC),Production Quantity,200,1000 m3,I
1991,Guyana,Ind. roundwood (NC),Production Quantity,200,1000 m3,I
1992,Guyana,Ind. roundwood (NC),Production Quantity,260,1000 m3,I
1993,Guyana,Ind. roundwood (NC),Production Quantity,265,1000 m3,F
1994,Guyana,Ind. roundwood (NC),Production Quantity,413.2,1000 m3,F
1995,Guyana,Ind. roundwood (NC),Production Quantity,476.1,1000 m3,F
1996,Guyana,Ind. roundwood (NC),Production Quantity,467.5,1000 m3,F
1997,Guyana,Ind. roundwood (NC),Production Quantity,573.2,1000 m3,F
1998,Guyana,Ind. roundwood (NC),Production Quantity,406,1000 m3,F
1999,Guyana,Ind. roundwood (NC),Production Quantity,454,1000 m3,F
2000,Guyana,Ind. roundwood (NC),Production Quantity,400,1000 m3,I
2001,Guyana,Ind. roundwood (NC),Production Quantity,312.29,1000 m3,
2002,Guyana,Ind. roundwood (NC),Production Quantity,298,1000 m3,
2003,Guyana,Ind. roundwood (NC),Production Quantity,341,1000 m3,F
2004,Guyana,Ind. roundwood (NC),Production Quantity,466,1000 m3,F
2005,Guyana,Ind. roundwood (NC),Production Quantity,497,1000 m3,F
2006,Guyana,Ind. roundwood (NC),Production Quantity,474,1000 m3,
2007,Guyana,Ind. roundwood (NC),Production Quantity,425,1000 m3,
2008,Guyana,Ind. roundwood (NC),Production Quantity,361,1000 m3,
2009,Guyana,Ind. roundwood (NC),Production Quantity,358,1000 m3,
2010,Guyana,Ind. roundwood (NC),Production Quantity,415.4,1000 m3,
2011,Guyana,Ind. roundwood (NC),Production Quantity,385.5,1000 m3,
2012,Guyana,Ind. roundwood (NC),Production Quantity,369.66,1000 m3,
2013,Guyana,Ind. roundwood (NC),Production Quantity,399,1000 m3,
2014,Guyana,Ind. roundwood (NC),Production Quantity,498,1000 m3,
2015,Guyana,Ind. roundwood (NC),Production Quantity,500,1000 m3,I
2016,Guyana,Ind. roundwood (NC),Production Quantity,392.08,1000 m3,I
2017,Guyana,Ind. roundwood (NC),Production Quantity,400.98,1000 m3,I
2018,Guyana,Ind. roundwood (NC),Production Quantity,400.98,1000 m3,I
2019,Guyana,Ind. roundwood (NC),Production Quantity,330,1000 m3,I
2020,Guyana,Ind. roundwood (NC),Production Quantity,380,1000 m3,I
2021,Guyana,Ind. roundwood (NC),Production Quantity,330,1000 m3,I
2022,Guyana,Ind. roundwood (NC),Production Quantity,400,1000 m3,I
2023,Guyana,Ind. roundwood (NC),Production Quantity,400,1000 m3,X
1990,Guyana,Ind. roundwood (NC.T.),Production Quantity,200,1000 m3,I
1991,Guyana,Ind. roundwood (NC.T.),Production Quantity,200,1000 m3,I
1992,Guyana,Ind. roundwood (NC.T.),Production Quantity,260,1000 m3,I
1993,Guyana,Ind. roundwood (NC.T.),Production Quantity,265,1000 m3,I
1994,Guyana,Ind. roundwood (NC.T.),Production Quantity,413.2,1000 m3,I
1995,Guyana,Ind. roundwood (NC.T.),Production Quantity,476.1,1000 m3,I
1996,Guyana,Ind. roundwood (NC.T.),Production Quantity,467.5,1000 m3,I
1997,Guyana,Ind. roundwood (NC.T.),Production Quantity,573.2,1000 m3,I
1998,Guyana,Ind. roundwood (NC.T.),Production Quantity,406,1000 m3,I
1999,Guyana,Ind. roundwood (NC.T.),Production Quantity,454,1000 m3,I
2000,Guyana,Ind. roundwood (NC.T.),Production Quantity,400,1000 m3,I
2001,Guyana,Ind. roundwood (NC.T.),Production Quantity,312.29,1000 m3,
2002,Guyana,Ind. roundwood (NC.T.),Production Quantity,298,1000 m3,
2003,Guyana,Ind. roundwood (NC.T.),Production Quantity,341,1000 m3,I
2004,Guyana,Ind. roundwood (NC.T.),Production Quantity,466,1000 m3,I
2005,Guyana,Ind. roundwood (NC.T.),Production Quantity,497,1000 m3,I
2006,Guyana,Ind. roundwood (NC.T.),Production Quantity,474,1000 m3,
2007,Guyana,Ind. roundwood (NC.T.),Production Quantity,425,1000 m3,
2008,Guyana,Ind. roundwood (NC.T.),Production Quantity,361,1000 m3,
2009,Guyana,Ind. roundwood (NC.T.),Production Quantity,358,1000 m3,
2010,Guyana,Ind. roundwood (NC.T.),Production Quantity,415.4,1000 m3,
2011,Guyana,Ind. roundwood (NC.T.),Production Quantity,385.5,1000 m3,I
2012,Guyana,Ind. roundwood (NC.T.),Production Quantity,369.66,1000 m3,I
2013,Guyana,Ind. roundwood (NC.T.),Production Quantity,399,1000 m3,I
2014,Guyana,Ind. roundwood (NC.T.),Production Quantity,498,1000 m3,I
2015,Guyana,Ind. roundwood (NC.T.),Production Quantity,500,1000 m3,I
2016,Guyana,Ind. roundwood (NC.T.),Production Quantity,392.08,1000 m3,I
2017,Guyana,Ind. roundwood (NC.T.),Production Quantity,400.98,1000 m3,I
2018,Guyana,Ind. roundwood (NC.T.),Production Quantity,400.98,1000 m3,I
2019,Guyana,Ind. roundwood (NC.T.),Production Quantity,330,1000 m3,I
2020,Guyana,Ind. roundwood (NC.T.),Production Quantity,380,1000 m3,I
2021,Guyana,Ind. roundwood (NC.T.),Production Quantity,330,1000 m3,I
2022,Guyana,Ind. roundwood (NC.T.),Production Quantity,400,1000 m3,I
2023,Guyana,Ind. roundwood (NC.T.),Production Quantity,400,1000 m3,X
1990,Guyana,Sawnwood,Production Quantity,50,1000 m3,I
1991,Guyana,Sawnwood,Production Quantity,50,1000 m3,I
1992,Guyana,Sawnwood,Production Quantity,50,1000 m3,I
1993,Guyana,Sawnwood,Production Quantity,50.3,1000 m3,I
1994,Guyana,Sawnwood,Production Quantity,77,1000 m3,I
1995,Guyana,Sawnwood,Production Quantity,101,1000 m3,I
1996,Guyana,Sawnwood,Production Quantity,97,1000 m3,I
1997,Guyana,Sawnwood,Production Quantity,57.1,1000 m3,I
1998,Guyana,Sawnwood,Production Quantity,50.2,1000 m3,I
1999,Guyana,Sawnwood,Production Quantity,51,1000 m3,I
2000,Guyana,Sawnwood,Production Quantity,29.27,1000 m3,I
2001,Guyana,Sawnwood,Production Quantity,30,1000 m3,I
2002,Guyana,Sawnwood,Production Quantity,38.1,1000 m3,I
2003,Guyana,Sawnwood,Production Quantity,38.19,1000 m3,
2004,Guyana,Sawnwood,Production Quantity,36.3,1000 m3,I
2005,Guyana,Sawnwood,Production Quantity,59,1000 m3,I
2006,Guyana,Sawnwood,Production Quantity,69.5,1000 m3,I
2007,Guyana,Sawnwood,Production Quantity,75.5,1000 m3,I
2008,Guyana,Sawnwood,Production Quantity,68,1000 m3,I
2009,Guyana,Sawnwood,Production Quantity,74,1000 m3,I
2010,Guyana,Sawnwood,Production Quantity,79.6,1000 m3,I
2011,Guyana,Sawnwood,Production Quantity,76.1,1000 m3,
2012,Guyana,Sawnwood,Production Quantity,75.58,1000 m3,
2013,Guyana,Sawnwood,Production Quantity,74,1000 m3,
2014,Guyana,Sawnwood,Production Quantity,67.14,1000 m3,I
2015,Guyana,Sawnwood,Production Quantity,70.95,1000 m3,I
2016,Guyana,Sawnwood,Production Quantity,42.1,1000 m3,I
2017,Guyana,Sawnwood,Production Quantity,48.93,1000 m3,I
2018,Guyana,Sawnwood,Production Quantity,45.6,1000 m3,I
2019,Guyana,Sawnwood,Production Quantity,43.9,1000 m3,I
2020,Guyana,Sawnwood,Production Quantity,66,1000 m3,I
2021,Guyana,Sawnwood,Production Quantity,71,1000 m3,I
2022,Guyana,Sawnwood,Production Quantity,101,1000 m3,I
2023,Guyana,Sawnwood,Production Quantity,101,1000 m3,X
1990,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1991,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1992,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1993,Guyana,Sawnwood (C),Production Quantity,0.3,1000 m3,RI
1994,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1995,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1996,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
1997,Guyana,Sawnwood (C),Production Quantity,0.1,1000 m3,RI
1998,Guyana,Sawnwood (C),Production Quantity,0.2,1000 m3,RI
1999,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,I
2000,Guyana,Sawnwood (C),Production Quantity,0.5,1000 m3,I
2001,Guyana,Sawnwood (C),Production Quantity,0.5,1000 m3,I
2002,Guyana,Sawnwood (C),Production Quantity,0.1,1000 m3,RI
2003,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
2004,Guyana,Sawnwood (C),Production Quantity,0.3,1000 m3,RI
2005,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,I
2006,Guyana,Sawnwood (C),Production Quantity,1.5,1000 m3,I
2007,Guyana,Sawnwood (C),Production Quantity,1.5,1000 m3,I
2008,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,I
2009,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,I
2010,Guyana,Sawnwood (C),Production Quantity,2,1000 m3,I
2011,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
2012,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
2013,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
2014,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,
2015,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,X
2016,Guyana,Sawnwood (C),Production Quantity,0,1000 m3,X
2017,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,I
2018,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
2019,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
2020,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
2021,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
2022,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
2023,Guyana,Sawnwood (C),Production Quantity,1,1000 m3,X
1990,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
1991,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
1992,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
1993,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
1994,Guyana,Sawnwood (NC),Production Quantity,77,1000 m3,F
1995,Guyana,Sawnwood (NC),Production Quantity,101,1000 m3,F
1996,Guyana,Sawnwood (NC),Production Quantity,97,1000 m3,F
1997,Guyana,Sawnwood (NC),Production Quantity,57,1000 m3,
1998,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
1999,Guyana,Sawnwood (NC),Production Quantity,50,1000 m3,F
2000,Guyana,Sawnwood (NC),Production Quantity,28.77,1000 m3,
2001,Guyana,Sawnwood (NC),Production Quantity,29.5,1000 m3,
2002,Guyana,Sawnwood (NC),Production Quantity,38,1000 m3,I
2003,Guyana,Sawnwood (NC),Production Quantity,38.19,1000 m3,
2004,Guyana,Sawnwood (NC),Production Quantity,36,1000 m3,F
2005,Guyana,Sawnwood (NC),Production Quantity,58,1000 m3,
2006,Guyana,Sawnwood (NC),Production Quantity,68,1000 m3,
2007,Guyana,Sawnwood (NC),Production Quantity,74,1000 m3,
2008,Guyana,Sawnwood (NC),Production Quantity,67,1000 m3,
2009,Guyana,Sawnwood (NC),Production Quantity,73,1000 m3,
2010,Guyana,Sawnwood (NC),Production Quantity,77.6,1000 m3,
2011,Guyana,Sawnwood (NC),Production Quantity,76.1,1000 m3,
2012,Guyana,Sawnwood (NC),Production Quantity,75.58,1000 m3,
2013,Guyana,Sawnwood (NC),Production Quantity,74,1000 m3,
2014,Guyana,Sawnwood (NC),Production Quantity,67.14,1000 m3,I
2015,Guyana,Sawnwood (NC),Production Quantity,70.95,1000 m3,I
2016,Guyana,Sawnwood (NC),Production Quantity,42.1,1000 m3,I
2017,Guyana,Sawnwood (NC),Production Quantity,47.93,1000 m3,I
2018,Guyana,Sawnwood (NC),Production Quantity,44.6,1000 m3,
2019,Guyana,Sawnwood (NC),Production Quantity,42.9,1000 m3,
2020,Guyana,Sawnwood (NC),Production Quantity,65,1000 m3,I
2021,Guyana,Sawnwood (NC),Production Quantity,70,1000 m3,I
2022,Guyana,Sawnwood (NC),Production Quantity,100,1000 m3,I
2023,Guyana,Sawnwood (NC),Production Quantity,100,1000 m3,X
1990,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
1991,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
1992,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
1993,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
1994,Guyana,Sawnwood (NC.T.),Production Quantity,77,1000 m3,I
1995,Guyana,Sawnwood (NC.T.),Production Quantity,101,1000 m3,I
1996,Guyana,Sawnwood (NC.T.),Production Quantity,97,1000 m3,I
1997,Guyana,Sawnwood (NC.T.),Production Quantity,57,1000 m3,
1998,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
1999,Guyana,Sawnwood (NC.T.),Production Quantity,50,1000 m3,I
2000,Guyana,Sawnwood (NC.T.),Production Quantity,28.77,1000 m3,
2001,Guyana,Sawnwood (NC.T.),Production Quantity,29.5,1000 m3,
2002,Guyana,Sawnwood (NC.T.),Production Quantity,38,1000 m3,I
2003,Guyana,Sawnwood (NC.T.),Production Quantity,38.19,1000 m3,
2004,Guyana,Sawnwood (NC.T.),Production Quantity,36,1000 m3,I
2005,Guyana,Sawnwood (NC.T.),Production Quantity,58,1000 m3,
2006,Guyana,Sawnwood (NC.T.),Production Quantity,68,1000 m3,
2007,Guyana,Sawnwood (NC.T.),Production Quantity,74,1000 m3,
2008,Guyana,Sawnwood (NC.T.),Production Quantity,67,1000 m3,
2009,Guyana,Sawnwood (NC.T.),Production Quantity,73,1000 m3,
2010,Guyana,Sawnwood (NC.T.),Production Quantity,77.6,1000 m3,
2011,Guyana,Sawnwood (NC.T.),Production Quantity,76.1,1000 m3,
2012,Guyana,Sawnwood (NC.T.),Production Quantity,75.58,1000 m3,
2013,Guyana,Sawnwood (NC.T.),Production Quantity,74,1000 m3,
2014,Guyana,Sawnwood (NC.T.),Production Quantity,67.14,1000 m3,
2015,Guyana,Sawnwood (NC.T.),Production Quantity,70.95,1000 m3,
2016,Guyana,Sawnwood (NC.T.),Production Quantity,42.1,1000 m3,
2017,Guyana,Sawnwood (NC.T.),Production Quantity,47.93,1000 m3,
2018,Guyana,Sawnwood (NC.T.),Production Quantity,44.6,1000 m3,
2019,Guyana,Sawnwood (NC.T.),Production Quantity,42.9,1000 m3,
2020,Guyana,Sawnwood (NC.T.),Production Quantity,65,1000 m3,I
2021,Guyana,Sawnwood (NC.T.),Production Quantity,70,1000 m3,I
2022,Guyana,Sawnwood (NC.T.),Production Quantity,100,1000 m3,I
2023,Guyana,Sawnwood (NC.T.),Production Quantity,100,1000 m3,X
1990,Guyana,Veneer,Production Quantity,0,1000 m3,
1991,Guyana,Veneer,Production Quantity,0,1000 m3,
1992,Guyana,Veneer,Production Quantity,0,1000 m3,
1993,Guyana,Veneer,Production Quantity,0,1000 m3,
1994,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
1995,Guyana,Veneer,Production Quantity,2.5,1000 m3,I
1996,Guyana,Veneer,Production Quantity,2.5,1000 m3,I
1997,Guyana,Veneer,Production Quantity,2.5,1000 m3,I
1998,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
1999,Guyana,Veneer,Production Quantity,3,1000 m3,I
2000,Guyana,Veneer,Production Quantity,2.1,1000 m3,I
2001,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2002,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2003,Guyana,Veneer,Production Quantity,2,1000 m3,I
2004,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2005,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2006,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2007,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2008,Guyana,Veneer,Production Quantity,2.2,1000 m3,I
2009,Guyana,Veneer,Production Quantity,2,1000 m3,I
2010,Guyana,Veneer,Production Quantity,2,1000 m3,I
2011,Guyana,Veneer,Production Quantity,2,1000 m3,X
2012,Guyana,Veneer,Production Quantity,2,1000 m3,X
2013,Guyana,Veneer,Production Quantity,20.94,1000 m3,I
2014,Guyana,Veneer,Production Quantity,23.57,1000 m3,I
2015,Guyana,Veneer,Production Quantity,25,1000 m3,I
2016,Guyana,Veneer,Production Quantity,17.13,1000 m3,I
2017,Guyana,Veneer,Production Quantity,17,1000 m3,I
2018,Guyana,Veneer,Production Quantity,17,1000 m3,I
2019,Guyana,Veneer,Production Quantity,17,1000 m3,X
2020,Guyana,Veneer,Production Quantity,17,1000 m3,I
2021,Guyana,Veneer,Production Quantity,17,1000 m3,X
2022,Guyana,Veneer,Production Quantity,17,1000 m3,X
2023,Guyana,Veneer,Production Quantity,17,1000 m3,X
1990,Guyana,Veneer (C),Production Quantity,0,1000 m3,
1991,Guyana,Veneer (C),Production Quantity,0,1000 m3,
1992,Guyana,Veneer (C),Production Quantity,0,1000 m3,
1993,Guyana,Veneer (C),Production Quantity,0,1000 m3,
1994,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
1995,Guyana,Veneer (C),Production Quantity,0.5,1000 m3,I
1996,Guyana,Veneer (C),Production Quantity,0.5,1000 m3,I
1997,Guyana,Veneer (C),Production Quantity,0.5,1000 m3,I
1998,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
1999,Guyana,Veneer (C),Production Quantity,1,1000 m3,I
2000,Guyana,Veneer (C),Production Quantity,0.1,1000 m3,RI
2001,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2002,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2003,Guyana,Veneer (C),Production Quantity,0,1000 m3,
2004,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2005,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2006,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2007,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2008,Guyana,Veneer (C),Production Quantity,0.2,1000 m3,RI
2009,Guyana,Veneer (C),Production Quantity,0,1000 m3,
2010,Guyana,Veneer (C),Production Quantity,1,1000 m3,I
2011,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2012,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2013,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2014,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2015,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2016,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2017,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2018,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2019,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2020,Guyana,Veneer (C),Production Quantity,1,1000 m3,I
2021,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2022,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
2023,Guyana,Veneer (C),Production Quantity,1,1000 m3,X
1990,Guyana,Veneer (NC),Production Quantity,0,1000 m3,
1991,Guyana,Veneer (NC),Production Quantity,0,1000 m3,
1992,Guyana,Veneer (NC),Production Quantity,0,1000 m3,
1993,Guyana,Veneer (NC),Production Quantity,0,1000 m3,
1994,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
1995,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
1996,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
1997,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
1998,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
1999,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2000,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2001,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2002,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2003,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2004,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2005,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2006,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2007,Guyana,Veneer (NC),Production Quantity,2,1000 m3,I
2008,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2009,Guyana,Veneer (NC),Production Quantity,2,1000 m3,X
2010,Guyana,Veneer (NC),Production Quantity,1,1000 m3,I
2011,Guyana,Veneer (NC),Production Quantity,1,1000 m3,X
2012,Guyana,Veneer (NC),Production Quantity,1,1000 m3,X
2013,Guyana,Veneer (NC),Production Quantity,19.94,1000 m3,I
2014,Guyana,Veneer (NC),Production Quantity,22.57,1000 m3,I
2015,Guyana,Veneer (NC),Production Quantity,24,1000 m3,
2016,Guyana,Veneer (NC),Production Quantity,16.13,1000 m3,
2017,Guyana,Veneer (NC),Production Quantity,16,1000 m3,I
2018,Guyana,Veneer (NC),Production Quantity,16,1000 m3,I
2019,Guyana,Veneer (NC),Production Quantity,16,1000 m3,X
2020,Guyana,Veneer (NC),Production Quantity,16,1000 m3,X
2021,Guyana,Veneer (NC),Production Quantity,16,1000 m3,X
2022,Guyana,Veneer (NC),Production Quantity,16,1000 m3,X
2023,Guyana,Veneer (NC),Production Quantity,16,1000 m3,X
1990,Guyana,Veneer (NC.T.),Production Quantity,0,1000 m3,
1991,Guyana,Veneer (NC.T.),Production Quantity,0,1000 m3,
1992,Guyana,Veneer (NC.T.),Production Quantity,0,1000 m3,
1993,Guyana,Veneer (NC.T.),Production Quantity,0,1000 m3,
1994,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
1995,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
1996,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
1997,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
1998,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
1999,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2000,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2001,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2002,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2003,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2004,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2005,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2006,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2007,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,I
2008,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2009,Guyana,Veneer (NC.T.),Production Quantity,2,1000 m3,X
2010,Guyana,Veneer (NC.T.),Production Quantity,1,1000 m3,I
2011,Guyana,Veneer (NC.T.),Production Quantity,1,1000 m3,X
