Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
1990,Guyana,Ind. roundwood,Production Quantity,203,1000 m3,I
1991,Guyana,Ind. roundwood,Production Quantity,203,1000 m3,I
1992,Guyana,Ind. roundwood,Production Quantity,263,1000 m3,I
1993,Guyana,Ind. roundwood,Production Quantity,268,1000 m3,F
1994,Guyana,Ind. roundwood,Production Quantity,433.2,1000 m3,I
1995,Guyana,Ind. roundwood,Production Quantity,486.1,1000 m3,I
1996,Guyana,Ind. roundwood,Production Quantity,487.5,1000 m3,I
1997,Guyana,Ind. roundwood,Production Quantity,583.2,1000 m3,I
1998,Guyana,Ind. roundwood,Production Quantity,426,1000 m3,I
1999,Guyana,Ind. roundwood,Production Quantity,474,1000 m3,I
2000,Guyana,Ind. roundwood,Production Quantity,420,1000 m3,I
2001,Guyana,Ind. roundwood,Production Quantity,327.29,1000 m3,I
2002,Guyana,Ind. roundwood,Production Quantity,313,1000 m3,I
2003,Guyana,Ind. roundwood,Production Quantity,356,1000 m3,I
2004,Guyana,Ind. roundwood,Production Quantity,491,1000 m3,I
2005,Guyana,Ind. roundwood,Production Quantity,522,1000 m3,I
2006,Guyana,Ind. roundwood,Production Quantity,499,1000 m3,I
2007,Guyana,Ind. roundwood,Production Quantity,465,1000 m3,I
2008,Guyana,Ind. roundwood,Production Quantity,386,1000 m3,I
2009,Guyana,Ind. roundwood,Production Quantity,373,1000 m3,I
2010,Guyana,Ind. roundwood,Production Quantity,440.4,1000 m3,I
2011,Guyana,Ind. roundwood,Production Quantity,395.5,1000 m3,I
2012,Guyana,Ind. roundwood,Production Quantity,394.66,1000 m3,I
2013,Guyana,Ind. roundwood,Production Quantity,419,1000 m3,I
2014,Guyana,Ind. roundwood,Production Quantity,518,1000 m3,I
2015,Guyana,Ind. roundwood,Production Quantity,530,1000 m3,I
2016,Guyana,Ind. roundwood,Production Quantity,402.08,1000 m3,I
2017,Guyana,Ind. roundwood,Production Quantity,410.98,1000 m3,I
2018,Guyana,Ind. roundwood,Production Quantity,410.98,1000 m3,I
2019,Guyana,Ind. roundwood,Production Quantity,340,1000 m3,I
