Value,Pixel count,Area (deg2)
0,2644983,0.1653114375
3,451498,0.028218625
4,373212,0.02332575
5,582191,0.0363869375
6,646191,0.0403869375
7,859689,0.0537305625
8,1117516,0.06984475
9,1422068,0.08887925
10,1610990,0.100686875
11,1087078,0.067942375
12,789042,0.049315125
13,556160,0.03476
14,438249,0.0273905625
15,402380,0.02514875
16,426314,0.026644625
17,438278,0.027392375
18,466875,0.0291796875
19,571914,0.035744625
20,681011,0.0425631875
21,865986,0.054124125
22,1154069,0.0721293125
23,1571488,0.098218
24,2427254,0.151703375
25,3414339,0.2133961875
26,4736397,0.2960248125
27,7209533,0.4505958125
28,9611858,0.600741125
29,11690623,0.7306639375
30,14120221,0.8825138125
31,18207345,1.137959063
32,16495037,1.030939813
33,10309719,0.6443574375
34,2528006,0.158000375
35,618528,0.038658
36,115316,0.00720725
37,18187,0.0011366875
38,4994,0.000312125
39,419,2.62E-05
40,36,2.25E-06
41,7,4.38E-07
