Value,Pixel count,Area (deg2)
32,12285563,0.7678476875
31,9448785,0.5905490625
30,8842283,0.5526426875
33,8237553,0.5148470625
29,6429235,0.4018271875
28,5469328,0.341833
27,4044915,0.2528071875
26,3010894,0.188180875
25,2423358,0.151459875
34,2338485,0.1461553125
24,1914445,0.1196528125
23,1472969,0.0920605625
0,1333613,0.0833508125
22,1019866,0.063741625
21,835493,0.0522183125
20,671187,0.0419491875
19,503143,0.0314464375
18,441156,0.02757225
35,363758,0.022734875
5,345406,0.021587875
17,334101,0.0208813125
16,239028,0.01493925
15,203892,0.01274325
6,164862,0.010303875
14,157889,0.0098680625
12,147606,0.009225375
13,146056,0.0091285
7,139613,0.0087258125
11,122818,0.007676125
10,109831,0.0068644375
8,104608,0.006538
4,100486,0.006280375
9,97180,0.00607375
3,26519,0.0016574375
36,22519,0.0014074375
37,546,3.41E-05
38,69,4.31E-06
39,2,1.25E-07
