Value,Pixel count,Area (deg2)
0,22641,0.0014150625
3,4307,0.0002691875
4,4073,0.0002545625
5,3787,0.0002366875
6,3923,0.0002451875
7,4372,0.00027325
8,4236,0.00026475
9,3629,0.0002268125
10,4502,0.000281375
11,5844,0.00036525
12,6498,0.000406125
13,6751,0.0004219375
14,8445,0.0005278125
15,10464,0.000654
16,12713,0.0007945625
17,16069,0.0010043125
18,17020,0.00106375
19,23456,0.001466
20,36421,0.0022763125
21,46010,0.002875625
22,59438,0.003714875
23,91181,0.0056988125
24,153938,0.009621125
25,241827,0.0151141875
26,280040,0.0175025
27,483074,0.030192125
28,653171,0.0408231875
29,718553,0.0449095625
30,717418,0.044838625
31,614053,0.0383783125
32,365568,0.022848
33,210910,0.013181875
34,47013,0.0029383125
35,18927,0.0011829375
36,4677,0.0002923125
37,1046,6.54E-05
38,254,1.59E-05
39,50,3.12E-06
40,2,1.25E-07
