Value_Group,Pixels_2000,Area_2000,Pixels_pct_2000,Pixels_2020,Area_2020,Pixels_pct_2020,pct_change
0,15077,0.0009423125,0.00258870482000114,22641,0.0014150625,0.0038874475672761423,0.5016959590141413
1-10,8320,0.0005201375,0.001428535126511208,32829,0.0020518125,0.00563672170779155,2.9458054640613875
11-20,122787,0.0076741875000000005,0.021082396944583137,143681,0.0089800625,0.02466995070508385,0.1701682104710816
21-30,3280463,0.2050289375,0.5632519984038867,3444650,0.21529062499999999,0.591444559101531,0.050053192492054845
31-40,1479654,0.09247833500000001,0.25405501371187683,1262500,0.078906295,0.21677057345904024,-0.14675734876510163
