objectid,indicatif,aff_code,toponyme,n_concessi,sup_sig,bureau_cer,wood_vol06,wood_vol07,wood_vol08,rfa_ha,validite,attributai,date_attri,exploitant,groupe_par,province,departemen,commune,sup_provis,classement,date_class,ref_classe,sup_defini,plan_amgmt,date_appro,ref_appro,observatio,certif_fm,certif_cw,certif_leg,date_fm,date_cw,date_legal,statut,shape_leng,nom,ref_doc_of,type_doc_o,date_,classe,gfwid,globalid,shape_Length,shape_Area
72,041000701,Fx,10-058,1009,55624.640018,SGS,14747,0,0,1500,V,KAKOUANDE,2013,SEBC,VICWOOD,Est,Kadey,Mbang,60823,Classee,2004,2004/2441/PM du 08 Dec 2004,57137,Plan Aménagement Approuvé,2004,0225/N/MINEF/SG/DF/SDIAF/SA, , , , , , , ,Attribué,134417.655258, , , , , ,cc631ace-d705-43cf-b1c1-1fe01d538ab7,{2CAAE04D-4A32-474B-9AEB-CD48FE748F84},134714.616630024,559128526.001893
73,041000701,Fx,10-057,1067,33836.2303816, ,20746,0,0,1050,V,DINO&FILS,2011,DINO&FILS, ,Est,Kadey,Mbang,32293,Classee,2010,2010/0553/PM du 31 Mars 2010,33559,Sans plan d'aménagement,NA,NA,Transferee en 2010, , , , , , ,Attribué,123017.484325, , , , , ,5a754745-e32c-4c33-b785-8a2673797eaa,{BEAA463A-E810-48DC-9DF4-137A835AF94A},123264.255543986,339951143.204158
74,041000701,Fx,10-051,1015,85897.1107193,Bureau Veritas,51231,39785,98330,1500,V,GRUMCAM,2010,GRUMCAM,ALPI,Est,Kadey,Ndelele,85812,Classee,2004,2004/2447/PM du 08 Dec 2004,86096,Plan Aménagement Approuvé,2004,2389/L/MINEF/SG/DF/SDIAF/SI, , , ,OLB, , ,14/05/2009,Attribué,133973.243901, , , , , ,168742d0-69d8-4945-a7fe-9e6aefde55d8,{2CD960F5-1288-4344-86E4-9806810FCA92},134145.551994131,860735748.872991
75,041000701,Fx,10-052,1058,72098.1726661,RA-Cert,25343,24691,0,5100,V,SFIL,2010,SFIL,DECOLVENAERE,Est,Boumba et Ngoko,Ndelele,69008,Classee,2010,2010/0557/PM du 31 Mars 2010,71410,Plan Aménagement Approuvé,2013,0719/NL/MINFOF/SG/DF/SDIAF/SA/DAFL,Nouveau Plan d'amenagement,FSC, , ,19/01/2010, , ,Attribué,159586.526918, , , , , ,8a775918-0410-4bc7-9677-108bdd1a4cd6,{606B49F6-0B1F-49D3-944B-1B8D411F42CD},159725.668013227,722821441.204935
76,041000701,Fx,10-045,1045,54352.5555458, ,0,14516,39670,3650,V,FIPCAM,2007,FIPCAM,FIPCAM,Est,Haut Nyong,Abong Mbang,54447,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2004,2384/L/MINEF/SG/DF/SDIAF/SI, , , , , , , ,Attribué,121929.767237, , , , , ,4a7be8c5-ac35-4a18-8b83-65be504db1b8,{09127E5F-5813-46D4-9F4C-B79BD7BBFDC4},122148.32279198,546574189.450521
77,041000702,Fx,10-043,1071,51468.7740798, ,0,2640,7993,2100,N,PLACAM,2005,PLACAM,ND,Est,Kadey,Batouri,51874,EnCours,NA,NA,NA,Abandonnée,NA,NA, , , , , , , ,Abandonné,106342.636916, , , , , ,97ec56bf-3b23-43bc-b563-bdac9db5e169,{4FDE5187-0C11-4590-BABA-ABD60E1443C9},106572.690405485,517165976.431782
78,041000701,Fx,10-054,1012,67500.1068488,SGS,0,35323,75371,1500,V,SFID,2010,SFID,ROUGIER,Est,Haut Nyong/Kadey,Mbang,68292,Classee,2004,2004/2440/PM du 08 Dec 2004,67942,Plan Aménagement Approuvé,2005,0078/N/MINFOF/SG/DF/SDIAF/SA, ,FSC,SW-CW,TLTV,25/03/2013,07/05/2009,22/02/2007,Attribué,136232.789488, , , , , ,d93f235e-4e21-4336-94cb-2416cfdac8db,{8D4E908C-7709-44D4-86D1-F96F39852940},136518.241825824,677634456.166901
79,041000701,Fx,10-044,1056,65755.1648797,Bureau Veritas,0,0,0,4770,V,SODETRANCAM,2001,PALLISCO,PASQUET,Est,Haut Nyong,Mindourou,66861,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2004,2376/L/MINEF/SG/DF/SDIAF/SA, ,FSC, ,OLB,09/10/2008, ,05/01/2011,Attribué,120654.710107, , , , , ,e3c86da7-8afe-4a89-baf5-5266f681a62e,{88F73D6A-310D-4F77-BCE1-7D6F7C741FC4},120956.996969156,661022002.287341
80,041000701,Fx,10-042,1055,45183.8435132,Bureau Veritas,0,0,0,4000,V,SODETRANCAM,2001,PALLISCO,PASQUET,Est,Haut Nyong,Mindourou,44249,EnCours,NA,NA,NA,Plan Aménagement Approuvé,2004,2376/L/MINEF/SG/DF/SDIAF/SA, ,FSC, ,OLB,09/10/2008, ,05/01/2011,Attribué,134899.398088, , , , , ,229e1abf-2609-45e9-9671-172608ebf116,{D7BF9DA1-B587-44BB-98DE-4331A0F5A66A},135275.555505094,453953682.374799
81,041000701,Fx,10-038,1043,148691.843478,SGS,59964,98696,48832,4100,V,CAMBOIS,2000,CAMBOIS,ROUGIER,Est,Haut Nyong/Kadey,Mbang,145585,Classee,2010,2010/0558/PM DU 31 MARS 2010,147463,Plan Aménagement Approuvé,2005,0018/N/MINFOF/SG/DF/SDIAF/SI, ,FSC, ,TLTV,25/03/2013, ,07/02/2007,Attribué,224126.776602, , , , , ,dea4d705-ba08-46d8-a6b3-20cd3cade668,{C59DB275-9718-4CCB-8CDC-CDE82C0DFD3B},224304.926018565,1491327969.8466
