objectid,indicatif,aff_code,toponyme,n_concessi,sup_sig,bureau_cer,wood_vol06,wood_vol07,wood_vol08,rfa_ha,validite,attributai,date_attri,exploitant,groupe_par,province,departemen,commune,sup_provis,classement,date_class,ref_classe,sup_defini,plan_amgmt,date_appro,ref_appro,observatio,certif_fm,certif_cw,certif_leg,date_fm,date_cw,date_legal,statut,shape_leng,nom,ref_doc_of,type_doc_o,date_,classe,gfwid,globalid,shape_Length,shape_Area
109,041000701,Fx,10-037,1042,52519.965289, ,0,0,0,2100,V,LA ROSIERE,2012,NA,NA,Est,Haut Nyong,Messok,52788,Classee,2011,2011/1535/PM DU 17 JUIN 2011,52186,Plan Aménagement Approuvé,2005,0013/N/MINFOF/SG/DF/SDIAF/SI,0214/C/MINFOF/SG/DF/SDAFF/SAG DU 28 Août 2012, , , , , , ,Attribué,136924.356416, , , , , ,164c9106-d477-42cc-97cb-c39c88482bf8,{A2A6AEB8-880A-41A1-8003-AC65E4590CC4},137054.475696427,526818254.885006
110,041000702,Fx,09-028,1082,28955.1544404, ,10684,2777,28164,1500,V,EFFA JBP,2006,EFFA JBP,NA,Sud,Ocean, ,26895,Classee,2011,2011/2345/PM DU 11 AOUT 2011,"28961,3",Plan Aménagement Approuvé,2011,2230/L/MINFOF/SG/DF/SDIAF, , , , , , , ,Attribué,189316.778006, , , , , ,0bc91b68-0b04-45eb-93b9-3c8568332d93,{95CAEF52-8346-412D-BC42-50906B4DD0B9},190260.162465617,292501242.159694
111,041000702,Fx,09-026,1081,35103.2635626,Bureau Veritas,37655,10858,0,5100,V,CUF,2006,CUF,WIJMA,Sud,Mvilla/Ocean, ,49026,Classee,2011,2011/2659/PM DU 23 AOUT 2011,"35103,3",Plan Aménagement Approuvé,2008,2080/L/MINFOF/SG/DF/SDIAF, , , ,OLB, , ,22/07/2010,Attribué,138973.011642, , , , , ,4d1b5a29-8954-4c9f-a895-f7ed004bf2c4,{128BE084-1354-444A-841D-FBACD214A5D4},139549.149743213,354471528.826631
112,041000702,Fx,09-027,1081,12691.5406655,Bureau Veritas,0,0,0,5100,V,CUF,2006,CUF,WIJMA,Sud,Mvilla/Ocean, ,15435,Classee,2011,2011/2344/PM DU 11 AOUT 2011,"12682,5",Plan Aménagement Approuvé,2008,2080/L/MINFOF/SG/DF/SDIAF, , , ,OLB, , ,22/07/2010,Attribué,70910.3690151, , , , , ,60ea846d-6bd4-4255-b8a9-c509fb2c84f9,{AC380130-2D79-4730-AA70-7D2F6A53D3D8},71203.2791676853,128159580.620821
113,041000701,Fx,10-067,1105,51174.764687, ,0,0,0,1500,V,BOTAC,2013, , ,Est,Boumba et Ngoko,Moloundou,42500,EnCours, , , ,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,140664.701733, , , , , ,5dc8a6bd-6d33-402f-986f-4014904f467f,{4204B2E5-22F3-4209-A2ED-55DEBCEF3739},140640.335521746,511801614.534663
114,041000701,Fx,10-066,1104,56423.8430987, ,0,0,0,1500,V,BOTAC,2013, , ,Est,Haut Nyong,Ngoila,49750,EnCours, , , ,Sans plan d'aménagement,NA,NA, , , , , , , ,Attribué,170690.734411, , , , , ,1ddeb2be-1213-47b7-b95f-0fa7c2e12c01,{BE53245B-957B-46B3-BA19-59F68B1ECA51},170363.333324377,562475193.533151
115,041001202,Fc,Mbang,0,19821.1469739, ,0,0,0,0, , , , , , , , ,19854, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Mbang,0193/MINFOF/SG/DF/SDIAF/SA,Avis au public,2006,En cours,e9a21606-0573-4f54-99e4-91d6a9f40a33,{95F65E5C-0858-4C66-85C9-9C5FCEE73F93},90188.9962224077,198934593.614166
116,041001202,Fc,Yoko,0,29716.8050112, ,0,0,0,0, , , , , , , , ,29500, , , , 29500, , , , , , , , , , ,Classee,0,Foret Communale de Yoko,2011/0038/PM DU 11/01/2011,Decret,2011,Classee,31eb4972-df18-49ad-b7c3-78f7b292ec8c,{EDAFF7AB-CBB9-4909-8D6D-A00EC7F283FF},83788.4052042404,300714546.160592
117,041001201,Fc,Gari Ngombo,0,35224.9566253, ,0,0,18046,0, , , , , , , , ,29255.206, , , ,29255, , , , , , , , , , ,Classee,0,Foret Communale de Gari Ngombo,2006/1900/PM DU 04/10/2006,Decret,2006,Classee,35e362bb-f006-474a-bb72-e3f6a9974e3e,{30C78A9F-9609-4FFB-8B8C-6F04D4F2D32E},104145.358863294,352102156.750324
118,041001201,Fc,Yokadouma,0,21479.8472629, ,0,0,22234,0, , , , , , , , ,21780.718, , , ,22206, , , , , , , , , , ,Classee,0,Foret Communale de Yokadouma,2005/1478/PM DU 11/05/2005,Decret,2005,Classee,43d2c8b7-2e26-42d4-9554-55e8107dd1ef,{38CFB9F8-6B67-4A38-B082-BB0029291A9C},83062.2659402519,214942120.117411
119,041001202,Fc,Ebolowa,0,15702.3940966, ,0,0,0,0, , , , , , , , ,16126.478, , , , , , , , , , , , , , ,Avis au Public,0,Foret Communale de Ebolowa,0032/AP/MINFOF/SG/DF/SDIAF/SC/MP,Avis au public,2009,En cours,7b4e050f-9b43-42c4-82b4-d61b7dd7b227,{2069FD7D-1175-46F6-B48E-3B8C5793D06F},67552.1778937528,158403727.662937
120,041001201,Fc,Mouloundou,0,42556.1580972, ,0,0,15485,0, , , , , , , , ,42556.158, , , ,42612, , , , , , , , , , ,Classee,0,Foret Communale de Mouloundou,2005/1475/PM DU 11/05/2005,Decret,2005,Classee,afe31cd0-2624-43bf-b634-66205bc5b4f5,{31F6B529-1958-46B0-BE24-D88833346A09},106449.807116076,424441047.566406
121,041001201,Fc,Messondo,0,15495.5187081, ,0,0,0,0, , , , , , , , ,15495.519, , , ,16864, , , , , , , , , , ,Classee,0,Foret Communale de Messondo,2006/1899/PM DU 04/10/2006,Decret,2006,Classee,f5af34a5-a681-42fd-8e71-53eff79beac9,{0626FDBD-7112-4035-B1CA-5051387CDEEB},119713.010834324,156599185.523307
122,041001202,Fc,Sangmelima,0,32734.5628326, ,0,0,0,0, , , , , , , , ,32770, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Sangmelima,0014/MINFOF/SG/DF/SDIAF/SC,Avis au public,2009,En cours,02502cd0-fe11-41d2-b257-e0fe8348f0ea,{5B069547-1BCD-4D23-9DF5-18ECF2A471D6},139449.498805171,329918554.861357
123,041001202,Fc,Ambam,0,44619.538739, ,0,0,0,0, , , , , , , , ,44620, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Ambam,ND,ND,ND,En cours,61520c82-805a-4686-9454-a8397d10acc2,{D846E668-ACB2-46A4-B6A5-346EBCD712C2},234636.050029094,449735826.517
124,041001201,Fc,Djoum,0,15139.7705714, ,0,0,0,0, , , , , , , , ,15139.991, , , ,15270, , , , , , , , , , ,Classee,0,Foret Communale de Djoum,2002/1070/PM DU 19/06/2002,Decret,2002,Classee,8274fc40-c538-4c38-b78d-ab7f2755c4fc,{6AE79635-5391-49C6-BF75-AC3F05CDF14B},64777.7953013862,152198014.88989
125,041001201,Fc,Dimako,0,18045.4187735, ,0,0,4818,0, , , , , , , , ,18045.419, , , ,16240, , , , , , , , , , ,Classee,0,Foret Communale de Dimako,2001/0386/PM DU 13/06/2001,Decret,2001,Classee,b53dc407-d744-4bc3-8f97-cc96bd59a0f1,{350AB21D-18F7-4471-BE24-D77767FAAB97},64156.5124898017,181635526.029407
126,041001202,Fc,Batouri,0,14152.4146032, ,0,0,0,0, , , , , , , , ,14326, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Batouri,0064/AP/MINFOF/SG/DF/SDFC/RFC,Avis au public,2009,En cours,18050e9d-d50d-4a59-beb0-88a0412c0400,{E3697E18-BF97-45A5-BA70-43EB1C681A47},59865.2040933461,142105285.21478
127,041001201,Fc,Nanga Eboko,0,19965.342113, ,0,0,0,0, , , , , , , , ,20000, , , ,20000, , , , , , , , , , ,Classee,0,Foret Communale de Nanga Eboko,2009/2046/PM DU 16/11/2009,Decret,2009,Classee,a04eb730-4d76-4dea-bfdc-6cf91058acc8,{66B32AB7-6A38-4553-9A4C-AE64D5CE24FC},108001.090438353,201992030.629901
128,041001202,Fc,Ndelele,0,11073.0295646, ,0,0,0,0, , , , , , , , ,10550, , , , , , , , , , , , , , ,Avis au Public,0,Foret Communale de Ndélélé,0189/MINFOF/SG/DF/SDIAF/SA,Avis au public,2006,En cours,0b9cb9f9-ca51-49cb-ba27-ca37994e647b,{0CF2E83F-2F7C-4498-BB8A-649806417713},73757.5448615442,110906055.458473
129,041001201,Fc,Messamena-Mindourou,0,36465.0849741, ,0,0,0,0, , , , , , , , ,36507.5, , , ,"36507,5", , , , , , , , , , ,Classee,0,Foret Communale de Messamena-Mindourou,2010/3837/PM DU 31/12/2010,Decret,2010,Classee,724d3860-59ca-4993-a6d0-87272bb0da9d,{8449B7D0-3A34-4C43-B232-43261A6829B1},128218.864816332,367011255.733412
130,041001202,Fc,Salapoumbe,0,22886.6874713, ,0,0,0,0, , , , , , , , ,23772, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Salapoumbe,0083/MINFOF/SG/DF/SDIAF/SISDEF-SC,Avis au public,2007,En cours,24e45f77-e4b7-4135-9733-3b200c63fb2b,{BC6689FE-1DED-4902-9340-F451020B9764},146467.052319334,228322603.004125
131,041001202,Fc,Doumaintang,0,37965.8990948, ,0,0,0,0, , , , , , , , ,37966, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Doumaintang,0126/MINFOF/SG/DF/SDIAF/SC,Avis au public,2008,En cours,a75f1795-c674-439e-a019-8c1ca4e7abee,{8ED59AE4-65C7-4E9F-9501-C72D59007ED4},99155.1197511682,382714181.707937
132,041001201,Fc,Dzeng,0,21167.0590759, ,0,0,0,0, , , , , , , , ,25182.369, , , ,21212, , , , , , , , , , ,Classee,0,Foret Communale de Dzeng,2010/2578/PM DU 17/09/2010,Decret,2010,Classee,e7bba13f-e8db-4d0e-b52b-1aa9e4ffac84,{CD26DFBB-864E-4B90-8512-05B2BDD386B4},125682.729106954,213627122.50995
133,041001201,Fc,Minta,0,41555.6934429, ,0,0,0,0, , , , , , , , ,45225.508, , , ,41087, , , , , , , , , , ,Classee,0,Foret Communale de Minta,2010/2579/PM DU 17/09/2010,Decret,2010,Classee,3a8b29f9-8619-4628-9cf4-b228b7ea1959,{B17AA089-D96F-41CE-B4FF-2CCE8C6E88B0},197888.660791815,419570842.416514
134,041001202,Fc,Ayos,0,12007.5949104, ,0,0,0,0, , , , , , , , ,12006.7, , , , , , , , , , , , , , ,Avis au Public,0,Foret Communale de Ayos,0125/AP/MINFOF/SG/DF/SDIAF/SC/MP,Avis au public,2008,En cours,164bec50-c5c4-4b13-86bb-79ce98935c56,{76CC69EB-5516-4339-B466-792D3DE27A99},91733.8341076169,121149960.607034
135,041001202,Fc,Nguti,0,11743.7414149, ,0,0,0,0, , , , , , , , ,12083, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Nguti,0121/MINFOF/SG/DF/SDIAF/SA,Avis au public,2007,En cours,35bab959-4953-417b-b47e-d6ef68df1811,{FB7C233B-6EF5-4503-A293-2E75A845AC11},66139.5943876593,119320857.03937
136,041001201,Fc,Lomie,0,15603.3324901, ,0,0,0,0, , , , , , , , ,15190, , , ,15190, , , , , , , , , , ,Classee,0,Foret Communale de Lomie,2010/1742/PM DU 08/06/2010,Decret,2010,Classee,202d7a52-ff95-4d62-bd64-41461d7f2d63,{C875BD5B-C12F-440B-9443-CE175ECB72B0},74893.7324649989,156523331.098282
137,041001202,Fc,Yingui,0,25670.3825751, ,0,0,0,0, , , , , , , , ,25110, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Yingui,8021/MINFOF/SG/DF/SDIAF/SC,Avis au public,2009,En cours,a73136b6-b171-4c39-89b4-21644b47613f,{CD7837B0-7F04-47DB-84B8-67DB4427EEBF},155209.280402917,260088178.225179
138,041001202,Fc,Ndom/Ngambé/Nyanon,0,23088.325331, ,0,0,0,0, , , , , , , , ,26496, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Ndom/Ngambé/Nyanon,0801/MINFOF/SG/DF/DPCF/Projet SI-KOP,Avis au public,2009,En cours,58329b9e-1003-4585-8ad2-00eebdef3a0d,{9C9139B7-7752-4661-8A1E-7000270075BD},163232.41999429,233778745.491514
139,041001202,Fc,Massok-Songloulou,0,23385.9131609, ,0,0,0,0, , , , , , , , ,23064, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Massok-Songloulou,0066/AP/MINFOF/SG/DF/SDFC/RFC/N,Avis au public,2009,En cours,149090c6-dc2e-4062-af61-f152a2e4da27,{01F79C07-4967-47F4-848D-C122A419AB97},120662.195018197,236688357.360033
140,041001202,Fc,Makak,0,11303.6980021, ,0,0,0,0, , , , , , , , ,11298, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Makak,0065/MINFOF/SG/DF/SDIAF/SC/MP,Avis au public,2009,En cours,f0d08947-9114-4759-bd23-88cdd29774f1,{91895045-B7FE-4FD1-94C2-5C5E87084A5B},137362.490715737,114223774.635373
141,041001202,Fc,Angossas,0,22172.9757192, ,0,0,0,0, , , , , , , , ,22150, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale d'Angossas,0112/MINFOF/SG/DF/SDIAF/SC/N,Avis au public,2009,En cours,9ab9481e-9728-4115-a01c-555269ec5e42,{99384EA9-0EDB-4725-BCE6-F30730A705C2},101411.507587606,223470600.863976
142,041001202,Fc,Mvangan,0,33641.3472004, ,0,0,0,0, , , , , , , , ,44730, , , ,"33720,5", , , , , , , , , , ,Classee,0,Foret Communale de Mvangan,2012/3552/PM DU 07/11/2012,Decret,2012,Classee,4b53d0fc-c962-4130-9620-c8c462cbd4aa,{9D89915A-B612-4BB8-AD92-97A0160822CE},77857.9412365016,338772659.336957
143,041001202,Fc,Doume,0,40602.3462791, ,0,0,0,0, , , , , , , , ,40700, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Doume,0075/MINFOF/SG/DF/SDIAF/SC/N,Avis au public,2010,En cours,fdb9dce4-001d-470c-ba1a-6e3a57d9e480,{D802CD2A-CD08-4DD9-8780-62841C595916},189511.050638132,409072406.157402
144,041001202,Fc,Mundemba,0,34437.0740503, ,0,0,0,0, , , , , , , , ,36210, , , , , , , , , , , , , , ,Transmission du dossier au PM,0,Foret Communale de Mundemba,0043/MINFOF/SG/DF/SDIAF/SC/N,Avis au public,2010,En cours,f3f3370d-66f3-498a-86c8-c5d3f1bfca5b,{18A8E1B6-368F-4E74-9C2E-6C4C1422225A},213624.875679244,349618961.983079
145,041001201,Fc,Akom II-Efoulan,0,17178.2254321, ,0,0,0,0, , , , , , , , ,17226, , , ,17226, , , , , , , , , , ,Classee,0,Foret Communale de AkomII-Efoulan,2010/2576/PM du 17/09/2010,Decret,2010,Classee,fee7a41a-b5c8-4b10-9715-db31aaae9652,{4D47CEB1-7F5B-40B9-9C83-9BB18F1EDEB7},84576.2206633942,173431727.959412
146,041001202,Fc,Bélabo,0,59602.0027369, ,0,0,0,0, , , , , , , , ,59214, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Bélabo,0033/MINFOF/SG/DF/SDIAF/SC,Avis au public,2011,En cours,480f1c74-3007-45b7-9081-baf818c639b4,{7DD8FC20-2428-4464-9821-008D31065D39},163344.40119838,601099783.584664
147,041001201,Fc,Ndikinimeki,0,20269.7498417, ,0,0,0,0, , , , , , , , ,23080, , , ,20000, , , , , , , , , , ,Classee,0,Foret Communale de Ndikinimeki,2011/1576/PM DU 29/06/2011,Decret,2011,Classee,ba75dd99-118f-4e7b-91e4-403afb930a35,{3F1723A0-49C4-4A9B-9288-AE89DDFAC6CF},123168.925152888,205484968.282121
148,041001202,Fc,Endom,0,15311.3134727, ,0,0,0,0, , , , , , , , ,15000, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale d'Endom,0158/MINFOF/SG/DF/SDIAF/SC/ADH,Avis au public,2012,En cours,b30a70d2-5d5a-454f-952d-55990e005c10,{BFB1A63D-B2E5-49C7-AF6C-798507C3E6D0},118304.883241726,154339225.089957
149,041001202,Fc,Oveng,0,20321.6724482, ,0,0,0,0, , , , , , , , ,20385, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale d'Oven,0054/AP/MINFOF/SG/DF/SDIAF/SC/ADH,Avis au public,2011,En cours,fc43c6d2-2e5a-4a9b-ac5b-a9dda307c30f,{FA095B16-8F95-4BCF-98D3-63980278DCA1},110779.767292328,204454384.437184
150,041001202,Fc,Bengbis,0,29837.3934037, ,0,0,0,0, , , , , , , , ,30015, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Bengbis,0048/AP/MINFOF/SG/DF/SDIAF/SC,Avis au public,2012,En cours,795961d9-9792-465e-87ab-8784c88e80e4,{95FC0CAE-A4F7-4441-B32E-F1FDDBC46E08},150208.035997336,300574130.971351
151,041001202,Fc,Meyomessi,0,22061.8773717, ,0,0,0,0, , , , , , , , ,22290, , , , , , , , , , , , , , ,Avis au public,0,Foret Communale de Meyomessi,0084/AP/MINFOF/SG/DF/SDIAF/SC,Avis au public,2012,En cours,1dd32725-d750-4313-b948-8dc2d208fd90,{D34AACBA-2C44-4215-8AC8-6736E6AA17C4},80769.4387390713,222077288.164524
