PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
EKKI HARDWOOD SAWN TIMBER,THE PILING COMPANY,THE PILING COMPANY,HUPKES WIJMA B.V.,05/10/2025,42363,19256,Rotterdam,"Philadelphia, Pennsylvania",ACHELOOS,Netherlands,NO MARKS,106 APPLE STREET SUITE 115-A TINTON FALLS NJ 07724 US,HAATLANDHAVEN 3 KAMPEN 8263 NL,7724,1,FBIU0091879, ,8,BDL,0, ,RSECUSPHL5030103,H,HLCURTM250253662,510S,BS579468,MARSHALL ISLANDS, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,-NOT AVAILABLE-,-NOT AVAILABLE-,ROTTERDAM NETHERL
EKKI/AZOBE HARDWOOD SAWN TIMBER,THE PILING COMPANY,THE PILING COMPANY,-NOT AVAILABLE-,03/24/2025,38128,17331,Rotterdam,"New York, New York",CMA CGM FIDELIO,Netherlands,NO MARKS,106 APPLE STREET SUITE 115-A TINTON FALLS NJ 07724 US,-NOT AVAILABLE-,7724,1,DFSU1370600,22G1,8,BDL,0, ,RSECUSNYC5030145,H,COSU6410370270,0LBJ1,BS579469,MALTA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,-NOT AVAILABLE-,-NOT AVAILABLE-,ROTTERDAM NETHERL
25 PIECES - GREENHEART TIMBER ROUGH 12 X 12 X 24' 25 PIECES - GREENHEART TIMBER ROUGH 12 X 12 X 24',THE PILING COMPANY,THE PILING COMPANY,WOODPECKER TIMBERS,03/17/2025,89842,40837,Puerto Manzanillo,"Philadelphia, Pennsylvania",POLAR MEXICO,Panama,N/M N/M,"106 APPLE STREET 115-A TINTON FALLS, NJ 07724 USA 12564745464",BLOCK 'BR' THUIS'TE COVERDEN EAST BANK DEMERARA GUYANA 5926886579,7724,2,MRSU3963870 MRKU2526810,4EB0 4EB0,50,PCS,33,CM,MAEU249809733, , ,510N,193887 PA0467137 193879 PA0467136,SINGAPORE, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",-NOT AVAILABLE-,-NOT AVAILABLE-,GEORGETOWN
